id,views,location,comments,tags_n,favorites,make,model
3020786465,6,Australia,0,8,0,NIKON,E5600
3021599334,13,,0,3,0,Apple,iPhone
3020763303,16,,0,3,0,Canon,Canon PowerShot SD400
3020777107,10,,0,5,0,?,?
3020753241,3,Asheville  NC  USA,0,3,0,SONY,DSC-P100
3020751359,7,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3020751725,6,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021583700,4,Asheville  NC  USA,0,3,0,SONY,DSC-P100
3021585862,17,,0,3,0,Panasonic,DMC-TZ3
3021579562,15,,3,4,1,?,?
3020751161,6,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021583608,2,Asheville  NC  USA,0,3,0,SONY,DSC-P100
3020743015,53,Palliser City  Canada,7,11,0,FUJIFILM,FinePix S5700 S700
3020750739,9,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3020743781,21,,1,3,0,Canon,Canon EOS 30D
3020750141,7,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3020742451,27,Palliser City  Canada,2,4,0,FUJIFILM,FinePix S5700 S700
3020748501,12,Somewhere in MA  USA,0,6,0,PENTAX Corporation,PENTAX K10D
3021582452,7,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021585780,9,,0,3,0,Panasonic,DMC-TZ3
3021583784,5,Asheville  NC  USA,3,3,0,SONY,DSC-P100
3020749899,6,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021580230,6,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021581310,8,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021583886,4,Asheville  NC  USA,0,3,0,SONY,DSC-P100
3020750505,122,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021580790,8,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021584002,2,Asheville  NC  USA,1,3,0,SONY,DSC-P100
3020750375,34,Canada,1,5,0,Canon,Canon PowerShot S5 IS
3020755397,5,,0,3,0,Panasonic,DMC-TZ3
3021581932,9,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3020755471,8,,1,3,0,Panasonic,DMC-TZ3
3021583404,1,Asheville  NC  USA,0,3,0,SONY,DSC-P100
3020753709,4,Asheville  NC  USA,0,3,0,SONY,DSC-P100
3020751867,6,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021587234,30,Canada,0,15,0,PENTAX Corporation,PENTAX K100D
3020737361,3,Portland,0,2,0,?,?
3020733429,34,,0,4,1,Panasonic,DMC-FZ8
3020733755,5,,2,2,1,?,?
3021563632,9,,0,7,0,EASTMAN KODAK COMPANY,KODAK DX4530 ZOOM DIGITAL CAMERA
3021555912,9,Missoula  MT,0,8,0,Canon,Canon PowerShot S3 IS
3020733305,11,,0,2,0,?,?
3021568694,15,U.S.A.,0,13,0,SONY,DSC-T300
3020733921,6,,0,2,0,?,?
3020735173,12,,0,3,0,?,?
3020734487,36,Rio de Janeiro  Brazil,8,5,1,Canon,Canon PowerShot A400
3020733439,8,,3,2,0,?,?
3021563676,9,,0,2,1,?,?
3021543184,13,Missoula  MT,0,13,0,Canon,Canon PowerShot S3 IS
3020713227,16,Tucson  Arizona,0,6,0,Canon,Canon PowerShot SD1000
3020701899,8,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021545974,9,Missoula  MT,0,13,0,Canon,Canon PowerShot S3 IS
3020711761,7,Missoula  MT,0,13,0,Canon,Canon PowerShot S3 IS
3020701439,8,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021547182,16,Missoula  MT,0,9,0,Canon,Canon PowerShot S3 IS
3020714289,7,Tucson  Arizona,0,6,0,Canon,Canon PowerShot SD1000
3021541258,19,Tucson  Arizona,2,7,0,Canon,Canon PowerShot SD1000
3020714573,3,Missoula  MT,0,11,0,Canon,Canon PowerShot S3 IS
3020701625,8,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3020701301,6,Hendertucky Baby  United States,0,10,0,CASIO COMPUTER CO. LTD.,EX-S10
3021525402,42,Hawthorne  California  USA,0,8,0,NIKON CORPORATION,NIKON D80
3020690079,26,Ohio  United States,2,9,0,FUJIFILM,FinePix A700
3020694907,143,Hawthorne  California  USA,17,7,5,NIKON CORPORATION,NIKON D80
3021513544,307,Aranjuez  Spain,7,9,2,Canon,Canon EOS 450D
3020686137,84,,14,11,1,Canon,Canon EOS DIGITAL REBEL XTi
3020688313,147,Illinois  USA,0,15,0,Canon,Canon EOS Kiss Digital X
3021489680,0,Newport News  VA  USA,0,1,0,Canon,Canon PowerShot S5 IS
3021499514,65,Ashburn  VA,0,10,0,Canon,Canon EOS DIGITAL REBEL XTi
3021490602,0,Newport News  VA  USA,0,1,0,Canon,Canon PowerShot S5 IS
3021495652,15,santiago  shile,2,6,0,?,?
3021502922,7,Missoula  MT,0,9,0,Canon,Canon PowerShot S3 IS
3020663493,6,Winchester  CA  USA,0,2,0,Canon,Canon PowerShot SD1000
3020675877,3,Missoula  MT,0,10,0,Canon,Canon PowerShot S3 IS
3020660227,8,,0,6,0,Canon,Canon EOS DIGITAL REBEL XTi
3020671565,3,Missoula  MT,0,9,0,Canon,Canon PowerShot S3 IS
3021507420,2,Missoula  MT,0,8,0,Canon,Canon PowerShot S3 IS
3020670207,6,Missoula  MT,0,9,0,Canon,Canon PowerShot S3 IS
3021504216,87,USA,0,3,0,NIKON CORPORATION,NIKON D90
3020671615,11,USA,5,5,0,?,?
3021482998,18,Eugene,1,8,0,?,?
3020637843,18,Philadelphia,1,71,0,?,?
3021469368,12,Philadelphia,0,71,0,?,?
3020657495,5,,0,6,0,?,?
3021474844,179,,1,13,0,Canon,Canon EOS DIGITAL REBEL XTi
3021454226,13,oaktown,0,6,0,Canon,Canon PowerShot SD800 IS
3020635407,7,San Francisco Bay Area  USA,0,8,0,NIKON CORPORATION,NIKON D40X
3021454736,7,oaktown,0,7,0,Canon,Canon PowerShot SD800 IS
3020623637,12,oaktown,0,7,0,Canon,Canon PowerShot SD800 IS
3020617405,10,Pittsburgh  USA,0,8,0,?,?
3020626823,19,Salvador  Brasil,1,10,0,SONY,DSC-H1
3020621657,5,Seattle  USA,1,6,0,?,?
3020603809,4,USA,0,5,0,NIKON CORPORATION,NIKON D300
3020601437,4,Columbia  US,0,9,0,NIKON CORPORATION,NIKON D200
3020602525,44,Stillwater  Oklahoma  USA,0,7,0,CEC,DV
3021434404,46,Nashville  TN  USA,1,9,1,Canon,Canon EOS DIGITAL REBEL XTi
3020605215,9,Akron  USA,0,4,0,Canon,Canon EOS 30D
3021434236,3,Akron  USA,0,4,0,Canon,Canon EOS 30D
3020612351,11,San Francisco  CA  USA,0,2,0,NIKON CORPORATION,NIKON D80
